0:0:0:0:0:0:0:1 - - [05/Nov/2019:19:41:22 -0200] "GET /coldigoGeladeiras/pages/site/general/menu.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2019:19:41:23 -0200] "GET /coldigoGeladeiras/pages/site/general/menu.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2019:19:41:25 -0200] "GET /coldigoGeladeiras/pages/site/general/menu.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2019:19:41:26 -0200] "GET /coldigoGeladeiras/pages/site/general/menu.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2019:20:02:27 -0200] "GET /coldigoGeladeiras/pages/site/produtos.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2019:20:02:27 -0200] "GET /coldigoGeladeiras/js/site.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2019:20:02:27 -0200] "GET /coldigoGeladeiras/pages/site/general/menu.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2019:20:02:27 -0200] "GET /coldigoGeladeiras/pages/site/general/cabecalho.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2019:20:02:42 -0200] "GET /coldigoGeladeiras/pages/admin/index.html HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [05/Nov/2019:20:03:28 -0200] "GET /coldigoGeladeiras/pages/admin/index.html HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [05/Nov/2019:20:06:13 -0200] "GET /coldigoGeladeiras/pages/admin/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2019:20:14:57 -0200] "GET /coldigoGeladeiras/pages/admin/index.html HTTP/1.1" 200 967
0:0:0:0:0:0:0:1 - - [05/Nov/2019:20:14:57 -0200] "GET /coldigoGeladeiras/css/admin.css HTTP/1.1" 404 1067
0:0:0:0:0:0:0:1 - - [05/Nov/2019:20:14:57 -0200] "GET /coldigoGeladeiras/js/admin.js HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [05/Nov/2019:20:14:57 -0200] "GET /coldigoGeladeiras/js/admin.js HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [05/Nov/2019:20:14:57 -0200] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [05/Nov/2019:21:37:34 -0200] "GET /coldigoGeladeiras/pages/admin/index.html HTTP/1.1" 200 967
0:0:0:0:0:0:0:1 - - [05/Nov/2019:21:37:35 -0200] "GET /coldigoGeladeiras/css/admin.css HTTP/1.1" 404 1067
0:0:0:0:0:0:0:1 - - [05/Nov/2019:21:37:35 -0200] "GET /coldigoGeladeiras/js/admin.js HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [05/Nov/2019:21:37:36 -0200] "GET /coldigoGeladeiras/js/admin.js HTTP/1.1" 404 1065
